timestamp,epoch,step,global_step,loss,lr
2025-12-07T00:04:19.881154,64,800,79549,0.782013,0.00055261
2025-12-07T00:04:39.156593,64,900,79649,0.783478,0.00055259
2025-12-07T00:04:58.411839,64,1000,79749,0.781508,0.00055258
2025-12-07T00:05:29.478851,64,1100,79849,0.783093,0.00055257
2025-12-07T00:05:48.837573,64,1200,79949,0.781708,0.00055255
2025-12-07T00:06:27.758879,65,100,80099,0.782394,0.00055253
2025-12-07T00:06:46.688345,65,200,80199,0.781780,0.00055252
2025-12-07T00:07:05.899079,65,300,80299,0.782568,0.00055250
2025-12-07T00:07:25.117480,65,400,80399,0.782580,0.00055249
2025-12-07T00:07:44.333856,65,500,80499,0.783234,0.00055248
2025-12-07T00:08:03.554913,65,600,80599,0.782059,0.00055246
2025-12-07T00:08:22.744823,65,700,80699,0.782645,0.00055245
2025-12-07T00:08:41.937178,65,800,80799,0.783688,0.00055243
2025-12-07T00:09:01.135494,65,900,80899,0.781788,0.00055242
2025-12-07T00:09:20.322093,65,1000,80999,0.783267,0.00055241
2025-12-07T00:09:49.882536,65,1100,81099,0.782303,0.00055239
2025-12-07T00:10:09.198802,65,1200,81199,0.782411,0.00055238
2025-12-07T00:10:49.911298,66,100,81349,0.781981,0.00055236
2025-12-07T00:11:08.838130,66,200,81449,0.783015,0.00055234
2025-12-07T00:11:28.009861,66,300,81549,0.782935,0.00055233
2025-12-07T00:11:47.186281,66,400,81649,0.783071,0.00055231
2025-12-07T00:12:06.403074,66,500,81749,0.782480,0.00055230
2025-12-07T00:12:25.632994,66,600,81849,0.782940,0.00055229
2025-12-07T00:12:44.869740,66,700,81949,0.782138,0.00055227
2025-12-07T00:13:04.095921,66,800,82049,0.783482,0.00055226
2025-12-07T00:13:23.314781,66,900,82149,0.781405,0.00055224
2025-12-07T00:13:42.555078,66,1000,82249,0.781600,0.00055223
2025-12-07T00:14:12.731056,66,1100,82349,0.782485,0.00055222
2025-12-07T00:14:32.062820,66,1200,82449,0.783386,0.00055220
2025-12-07T00:15:11.216648,67,100,82599,0.781447,0.00055218
2025-12-07T00:15:30.120775,67,200,82699,0.782908,0.00055217
2025-12-07T00:15:49.340079,67,300,82799,0.781694,0.00055215
2025-12-07T00:16:08.535583,67,400,82899,0.783432,0.00055214
2025-12-07T00:16:27.695790,67,500,82999,0.781236,0.00055212
2025-12-07T00:16:46.868353,67,600,83099,0.782252,0.00055211
2025-12-07T00:17:06.018516,67,700,83199,0.782353,0.00055209
2025-12-07T00:17:25.238598,67,800,83299,0.782404,0.00055208
2025-12-07T00:17:44.434570,67,900,83399,0.782075,0.00055206
